LOCATION,DATE_TIME,DATE,TIME,SENSOR_ID,DC_POWER,AC_POWER,DAILY_YIELD,DAILY_YIELD_diff,TOTAL_YIELD,TOTAL_YIELD_diff,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION
B,2020-05-15 00:00:00,2020-05-15,00:00:00,sensor 38,0.0,0.0,0.0,,2211962.0,,27.004763700000005,25.0607889,0.0
B,2020-05-15 00:15:00,2020-05-15,00:15:00,sensor 38,0.0,0.0,0.0,0.0,2211962.0,0.0,26.880811433333328,24.421868833333328,0.0
B,2020-05-15 00:30:00,2020-05-15,00:30:00,sensor 38,0.0,0.0,0.0,0.0,2211962.0,0.0,26.682055344827592,24.427290310344823,0.0
B,2020-05-15 00:45:00,2020-05-15,00:45:00,sensor 38,0.0,0.0,0.0,0.0,2211962.0,0.0,26.500588900000004,24.4206776,0.0
B,2020-05-15 01:00:00,2020-05-15,01:00:00,sensor 38,0.0,0.0,0.0,0.0,2211962.0,0.0,26.596148,25.088210413793107,0.0
B,2020-05-15 01:15:00,2020-05-15,01:15:00,sensor 38,0.0,0.0,0.0,0.0,2211962.0,0.0,26.512740033333333,25.31796966666667,0.0
B,2020-05-15 01:30:00,2020-05-15,01:30:00,sensor 38,0.0,0.0,0.0,0.0,2211962.0,0.0,26.494338966666664,25.217192533333336,0.0
B,2020-05-15 01:45:00,2020-05-15,01:45:00,sensor 38,0.0,0.0,0.0,0.0,2211962.0,0.0,26.420410206896552,25.065062310344832,0.0
B,2020-05-15 02:00:00,2020-05-15,02:00:00,sensor 38,0.0,0.0,0.0,0.0,2211962.0,0.0,26.401946133333333,24.691469366666656,0.0
B,2020-05-15 02:15:00,2020-05-15,02:15:00,sensor 38,0.0,0.0,0.0,0.0,2211962.0,0.0,26.22607820689656,24.55948079310345,0.0
B,2020-05-15 02:30:00,2020-05-15,02:30:00,sensor 38,0.0,0.0,0.0,0.0,2211962.0,0.0,26.2603992,24.482406633333337,0.0
B,2020-05-15 02:45:00,2020-05-15,02:45:00,sensor 38,0.0,0.0,0.0,0.0,2211962.0,0.0,26.2978261,24.4886982,0.0
B,2020-05-15 03:00:00,2020-05-15,03:00:00,sensor 38,0.0,0.0,0.0,0.0,2211962.0,0.0,26.328249103448275,24.50628962068966,0.0
B,2020-05-15 03:15:00,2020-05-15,03:15:00,sensor 38,0.0,0.0,0.0,0.0,2211962.0,0.0,26.15870973333333,24.595197433333333,0.0
B,2020-05-15 03:30:00,2020-05-15,03:30:00,sensor 38,0.0,0.0,0.0,0.0,2211962.0,0.0,26.078499333333333,24.801314366666663,0.0
B,2020-05-15 03:45:00,2020-05-15,03:45:00,sensor 38,0.0,0.0,0.0,0.0,2211962.0,0.0,26.00130396551724,24.60781744827586,0.0
B,2020-05-15 04:00:00,2020-05-15,04:00:00,sensor 38,0.0,0.0,0.0,0.0,2211962.0,0.0,25.6972106,24.626179,0.0
B,2020-05-15 04:15:00,2020-05-15,04:15:00,sensor 38,0.0,0.0,0.0,0.0,2211962.0,0.0,25.6277024137931,24.773145068965515,0.0
B,2020-05-15 04:30:00,2020-05-15,04:30:00,sensor 38,0.0,0.0,0.0,0.0,2211962.0,0.0,25.482045785714284,24.796690750000003,0.0
B,2020-05-15 04:45:00,2020-05-15,04:45:00,sensor 38,0.0,0.0,0.0,0.0,2211962.0,0.0,25.23093168965517,24.43690427586207,0.0
B,2020-05-15 05:00:00,2020-05-15,05:00:00,sensor 38,0.0,0.0,0.0,0.0,2211962.0,0.0,25.1175986,24.104579633333337,0.0
B,2020-05-15 05:15:00,2020-05-15,05:15:00,sensor 38,0.0,0.0,0.0,0.0,2053964.714285714,-157997.2857142859,25.0918621,23.897232,0.0
B,2020-05-15 05:30:00,2020-05-15,05:30:00,sensor 38,0.0,0.0,0.0,0.0,2211962.0,157997.2857142859,24.916967827586213,23.83947131034483,0.0
B,2020-05-15 05:45:00,2020-05-15,05:45:00,sensor 38,0.0,0.0,0.0,0.0,2211962.0,0.0,24.741273799999995,23.7866618,0.002838054505
B,2020-05-15 06:00:00,2020-05-15,06:00:00,sensor 38,15.653333333333334,15.133333333333333,1.7999999999999998,1.7999999999999998,2211963.8000000007,1.800000000745058,24.74278656666667,24.07722983333333,0.0129619781466666
B,2020-05-15 06:15:00,2020-05-15,06:15:00,sensor 38,27.85333333333333,26.88666666666667,7.6,5.8,2211969.6,5.799999999348074,24.76391089655172,24.356189448275863,0.0210376687241379
B,2020-05-15 06:30:00,2020-05-15,06:30:00,sensor 38,59.957142857142856,58.1,17.071428571428573,9.471428571428572,2211979.071428572,9.471428571734576,24.7863229,24.548886100000004,0.042435399
B,2020-05-15 06:45:00,2020-05-15,06:45:00,sensor 38,160.96666666666664,157.5,41.53333333333333,24.46190476190476,2212003.5333333337,24.46190476184711,25.04824510344827,25.746662,0.1034958783448276
B,2020-05-15 07:00:00,2020-05-15,07:00:00,sensor 38,316.6333333333333,311.14666666666665,101.2,59.66666666666667,2212063.2,59.666666666511446,25.6732025,28.67470703333333,0.1994504836666666
B,2020-05-15 07:15:00,2020-05-15,07:15:00,sensor 38,395.7066666666667,388.68666666666667,189.4,88.2,2212151.4,88.1999999997206,26.076818,30.72550493103449,0.317665025862069
B,2020-05-15 07:30:00,2020-05-15,07:30:00,sensor 38,477.8133333333333,468.4066666666666,298.5333333333333,109.1333333333333,2212260.5333333327,109.13333333283664,26.424239066666665,32.206803566666665,0.3829133633333333
B,2020-05-15 07:45:00,2020-05-15,07:45:00,sensor 38,566.65,555.2357142857143,424.0714285714286,125.53809523809532,2212386.071428572,125.5380952390842,27.12028751724138,34.59156220689654,0.4482866631034482
B,2020-05-15 08:00:00,2020-05-15,08:00:00,sensor 38,579.5866666666666,567.86,560.6,136.5285714285714,2212522.600000001,136.52857142919677,27.678970266666667,35.705856366666666,0.4550275753333332
B,2020-05-15 08:15:00,2020-05-15,08:15:00,sensor 38,662.6066666666667,648.8733333333332,714.8666666666667,154.26666666666665,2212676.8666666667,154.26666666567326,27.953492333333333,36.78689773333334,0.509315263
B,2020-05-15 08:30:00,2020-05-15,08:30:00,sensor 38,757.4000000000002,741.3399999999998,888.4666666666666,173.5999999999999,2212850.466666667,173.60000000009313,28.526214655172414,38.617749482758605,0.5709116793103447
B,2020-05-15 08:45:00,2020-05-15,08:45:00,sensor 38,835.3571428571428,817.2785714285714,1082.857142857143,194.3904761904763,2213044.8571428573,194.39047619048503,29.31902146666665,40.738035900000014,0.6253999813333333
B,2020-05-15 09:00:00,2020-05-15,09:00:00,sensor 38,875.9133333333333,856.74,1284.9333333333334,202.0761904761905,2213246.9333333327,202.0761904753745,29.572043620689648,41.47150403448277,0.6542055951724136
B,2020-05-15 09:15:00,2020-05-15,09:15:00,sensor 38,947.1066666666666,925.9866666666666,1512.4,227.4666666666667,2213474.4000000004,227.46666666772217,30.09140723333333,43.4653736,0.7024373413333334
B,2020-05-15 09:30:00,2020-05-15,09:30:00,sensor 38,1022.8733333333332,999.64,1756.0666666666668,243.66666666666677,2213718.066666667,243.66666666651145,30.638658379310343,44.1451964137931,0.7566826427586206
B,2020-05-15 09:45:00,2020-05-15,09:45:00,sensor 38,1081.7666666666669,1055.5333333333333,2015.0666666666664,258.99999999999955,2213977.066666667,259.0,31.375120033333328,45.71952399999999,0.799745994
B,2020-05-15 10:00:00,2020-05-15,10:00:00,sensor 38,1119.6571428571428,1092.0571428571427,2279.5000000000005,264.4333333333341,2214241.5,264.433333333116,31.89209383333333,46.13117390000001,0.828095938
B,2020-05-15 10:15:00,2020-05-15,10:15:00,sensor 38,1179.5266666666666,1150.0333333333333,2551.4,271.89999999999964,2214513.4,271.89999999990687,32.43747986206897,47.14350827586208,0.8748338506896551
B,2020-05-15 10:30:00,2020-05-15,10:30:00,sensor 38,1222.54,1191.9733333333331,2853.1333333333328,301.73333333333267,2214815.1333333333,301.7333333333954,33.07413526666666,48.6802898,0.9080560733333332
B,2020-05-15 10:45:00,2020-05-15,10:45:00,sensor 38,1266.94,1235.24,3157.333333333333,304.2000000000003,2215119.333333333,304.1999999997206,33.19247010344828,50.249560172413794,0.943352708275862
B,2020-05-15 11:00:00,2020-05-15,11:00:00,sensor 38,1288.986666666667,1256.7599999999995,3474.4666666666667,317.13333333333367,2215436.466666668,317.13333333516493,33.46205666666668,51.61099133333334,0.9579001053333333
B,2020-05-15 11:15:00,2020-05-15,11:15:00,sensor 38,1289.5,1257.2642857142855,3783.857142857143,309.3904761904764,2215745.8571428573,309.3904761890881,34.2517951724138,54.89430189655173,0.9704477541379308
B,2020-05-15 11:30:00,2020-05-15,11:30:00,sensor 38,1312.1799999999998,1279.38,4090.2666666666655,306.4095238095224,2216052.2666666666,306.4095238093287,34.651454666666666,56.08395293333334,0.987932009
B,2020-05-15 11:45:00,2020-05-15,11:45:00,sensor 38,1280.9333333333332,1248.9266666666667,4418.4,328.1333333333341,2216380.4000000004,328.13333333376795,35.15152596551724,55.593795275862064,0.9533445175862068
B,2020-05-15 12:00:00,2020-05-15,12:00:00,sensor 38,1271.506666666667,1239.7333333333331,4728.533333333333,310.1333333333332,2216690.5333333337,310.1333333333023,35.16610503333333,57.4882405,0.9469201943333332
B,2020-05-15 12:15:00,2020-05-15,12:15:00,sensor 38,1306.3933333333337,1273.7333333333331,5047.2,318.66666666666697,2217009.2,318.66666666651145,36.37757096551724,57.58858162068966,0.977187623448276
B,2020-05-15 12:30:00,2020-05-15,12:30:00,sensor 38,1282.4214285714286,1250.357142857143,5357.285714285715,310.08571428571486,2217319.285714285,310.08571428479627,35.96635756666666,58.8881528,0.9562375366666666
B,2020-05-15 12:45:00,2020-05-15,12:45:00,sensor 38,1316.1466666666663,1283.24,5665.4,308.11428571428496,2217627.4000000004,308.11428571539,35.992946499999995,57.72948603333334,0.9790904166666669
B,2020-05-15 13:00:00,2020-05-15,13:00:00,sensor 38,1257.2933333333333,1225.88,5987.466666666667,322.0666666666675,2217949.466666667,322.0666666664183,36.45858144827585,60.389376793103445,0.9264382120689656
B,2020-05-15 13:15:00,2020-05-15,13:15:00,sensor 38,1240.44,1209.4199999999998,6294.999999999999,307.53333333333194,2218256.9999999995,307.5333333327435,36.93956406666666,56.85950403333334,0.904246814
B,2020-05-15 13:30:00,2020-05-15,13:30:00,sensor 38,1240.8533333333332,1209.8466666666666,6601.066666666665,306.0666666666657,2218563.0666666664,306.066666666884,36.89079344827587,57.14867327586207,0.8954739062068966
B,2020-05-15 13:45:00,2020-05-15,13:45:00,sensor 38,1219.2357142857145,1188.7642857142855,6896.285714285715,295.2190476190499,2218858.2857142864,295.2190476199612,36.614378066666674,52.980611200000006,0.8660270623333334
B,2020-05-15 14:00:00,2020-05-15,14:00:00,sensor 38,1184.16,1154.5466666666666,7181.400000000001,285.11428571428587,2219143.4,285.1142857135273,36.84276606896551,54.810004896551725,0.8379443868965518
B,2020-05-15 14:15:00,2020-05-15,14:15:00,sensor 38,1178.5,1149.0333333333333,7477.666666666667,296.2666666666664,2219439.6666666674,296.2666666675359,37.3528292,53.53894659999999,0.8261285799999998
