IS_ANOMALY,LOCATION,DATE_TIME,SENSOR_NUMBER,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD
False,A,2020-05-15 06:00:00,43,57.0,5.5,0.0,6339380.0
False,A,2020-05-15 06:15:00,43,301.2857143,29.08571429,2.857142857,6339382.857
False,A,2020-05-15 06:30:00,43,681.25,66.0125,14.375,6339394.375
False,A,2020-05-15 06:45:00,43,1264.714286,123.1571429,36.57142857,6339416.571
False,A,2020-05-15 07:00:00,43,1877.875,184.075,76.875,6339456.875
False,A,2020-05-15 07:15:00,43,2015.285714,197.5571429,125.5714286,6339505.571
False,A,2020-05-15 07:30:00,43,1967.125,192.825,175.25,6339555.25
False,A,2020-05-15 07:45:00,43,1993.714286,195.4428571,221.8571429,6339601.857
False,A,2020-05-15 08:00:00,43,2844.625,279.2625,279.125,6339659.125
False,A,2020-05-15 08:15:00,43,4961.285714,486.6285714,372.1428571,6339752.143
False,A,2020-05-15 08:30:00,43,5279.125,517.5875,506.5,6339886.5
False,A,2020-05-15 08:45:00,43,4217.428571,414.0714286,610.8571429,6339990.857
False,A,2020-05-15 09:00:00,43,8404.25,822.45,778.75,6340158.75
False,A,2020-05-15 09:15:00,43,4303.142857,422.4714286,945.1428571,6340325.143
False,A,2020-05-15 09:30:00,43,3741.875,367.4625,1034.5,6340414.5
False,A,2020-05-15 09:45:00,43,8163.857143,798.8142857,1166.714286,6340546.714
False,A,2020-05-15 10:00:00,43,8889.142857,868.6571429,1391.571429,6340771.571
False,A,2020-05-15 10:15:00,43,7940.0,776.375,1551.75,6340931.75
False,A,2020-05-15 10:30:00,43,7030.857143,688.1428571,1756.857143,6341136.857
False,A,2020-05-15 10:45:00,43,5068.625,497.05,1895.125,6341275.125
False,A,2020-05-15 11:00:00,43,9982.0,974.4714286,2067.285714,6341447.286
False,A,2020-05-15 11:15:00,43,8240.0,805.55,2271.375,6341651.375
False,A,2020-05-15 11:30:00,43,7197.0,704.1142857,2453.0,6341833.0
False,A,2020-05-15 11:45:00,43,6566.125,643.1,2611.625,6341991.625
False,A,2020-05-15 12:00:00,43,6948.571429,680.3,2790.0,6342170.0
False,A,2020-05-15 12:15:00,43,9616.5,939.475,2994.125,6342374.125
False,A,2020-05-15 12:30:00,43,8491.714286,830.4428571,3226.857143,6342606.857
False,A,2020-05-15 12:45:00,43,10421.375,1018.075,3456.25,6342836.25
False,A,2020-05-15 13:00:00,43,5700.142857,558.5714286,3653.0,6343033.0
False,A,2020-05-15 13:15:00,43,6964.875,682.1,3814.25,6343194.25
False,A,2020-05-15 13:30:00,43,8095.571429,792.3571429,3996.714286,6343376.714
False,A,2020-05-15 13:45:00,43,7652.571429,749.1857143,4176.0,6343556.0
False,A,2020-05-15 14:00:00,43,10107.75,988.2,4388.5,6343768.5
False,A,2020-05-15 14:15:00,43,12066.57143,1177.514286,4659.0,6344039.0
False,A,2020-05-15 14:30:00,43,7498.625,733.3875,4924.0,6344304.0
False,A,2020-05-15 14:45:00,43,7227.142857,707.1285714,5090.142857,6344470.143
False,A,2020-05-15 15:00:00,43,5291.125,518.75,5256.5,6344636.5
False,A,2020-05-15 15:15:00,43,6101.142857,597.7714286,5397.0,6344777.0
False,A,2020-05-15 15:30:00,43,8098.625,792.65,5569.375,6344949.375
False,A,2020-05-15 15:45:00,43,4952.285714,485.5142857,5718.285714,6345098.286
False,A,2020-05-15 16:00:00,43,4997.25,490.1875,5853.5,6345233.5
False,A,2020-05-15 16:15:00,43,4706.142857,461.7285714,5965.571429,6345345.571
False,A,2020-05-15 16:30:00,43,4820.875,472.8375,6088.875,6345468.875
False,A,2020-05-15 16:45:00,43,3619.142857,355.7285714,6193.0,6345573.0
False,A,2020-05-15 17:00:00,43,2311.0,226.7285714,6260.285714,6345640.286
False,A,2020-05-15 17:15:00,43,2371.625,232.55,6318.375,6345698.375
False,A,2020-05-15 17:30:00,43,1231.75,120.1,6357.5,6345737.5
False,A,2020-05-15 17:45:00,43,520.25,50.325,6379.25,6345759.25
False,A,2020-05-15 18:00:00,43,302.1428571,29.18571429,6389.857143,6345769.857
False,A,2020-05-15 18:15:00,43,102.25,9.875,6394.5,6345774.5
False,A,2020-05-16 06:00:00,43,53.71428571,5.185714286,0.0,6345776.0
False,A,2020-05-16 06:15:00,43,335.375,32.4125,4.125,6345780.125
False,A,2020-05-16 06:30:00,43,700.7142857,67.94285714,16.28571429,6345792.286
False,A,2020-05-16 06:45:00,43,1128.75,109.7125,38.5,6345814.5
False,A,2020-05-16 07:00:00,43,1556.142857,152.1,70.57142857,6345846.571
False,A,2020-05-16 07:15:00,43,1981.625,194.275,113.75,6345889.75
False,A,2020-05-16 07:30:00,43,2486.0,243.7857143,168.4285714,6345944.429
False,A,2020-05-16 07:45:00,43,3448.125,338.8625,242.0,6346018.0
False,A,2020-05-16 08:00:00,43,4184.857143,411.1285714,336.4285714,6346112.429
False,A,2020-05-16 08:15:00,43,4733.0,464.1428571,438.4285714,6346214.429
False,A,2020-05-16 08:30:00,43,5889.375,577.1,566.25,6346342.25
False,A,2020-05-16 08:45:00,43,6538.857143,640.5285714,722.4285714,6346498.429
False,A,2020-05-16 09:00:00,43,6466.125,633.45,881.75,6346657.75
False,A,2020-05-16 09:15:00,43,5794.857143,567.8857143,1032.0,6346808.0
False,A,2020-05-16 09:30:00,43,5884.25,576.625,1174.75,6346950.75
False,A,2020-05-16 09:45:00,43,7415.142857,726.0142857,1333.857143,6347109.857
False,A,2020-05-16 10:00:00,43,6669.625,653.225,1517.875,6347293.875
False,A,2020-05-16 10:15:00,43,6681.714286,654.3857143,1667.0,6347443.0
False,A,2020-05-16 10:30:00,43,8814.25,862.2625,1876.125,6347652.125
False,A,2020-05-16 10:45:00,43,8408.142857,822.6857143,2075.285714,6347851.286
False,A,2020-05-16 11:00:00,43,8031.375,785.9875,2276.375,6348052.375
False,A,2020-05-16 11:15:00,43,7795.857143,763.1285714,2471.714286,6348247.714
False,A,2020-05-16 11:30:00,43,7083.5,693.6375,2654.125,6348430.125
False,A,2020-05-16 11:45:00,43,8354.142857,817.4571429,2836.857143,6348612.857
False,A,2020-05-16 12:00:00,43,9320.625,911.65,3057.5,6348833.5
False,A,2020-05-16 12:15:00,43,7777.142857,761.2428571,3278.0,6349054.0
False,A,2020-05-16 12:30:00,43,10110.0,988.3714286,3481.857143,6349257.857
False,A,2020-05-16 12:45:00,43,10293.0,1005.6125,3731.5,6349507.5
False,A,2020-05-16 13:00:00,43,8358.571429,817.8285714,3963.0,6349739.0
False,A,2020-05-16 13:15:00,43,10049.125,982.4125,4187.625,6349963.625
False,A,2020-05-16 13:30:00,43,7938.285714,776.8428571,4409.857143,6350185.857
False,A,2020-05-16 13:45:00,43,7008.0,686.25,4587.0,6350363.0
False,A,2020-05-16 14:00:00,43,6246.285714,611.9285714,4746.285714,6350522.286
False,A,2020-05-16 14:15:00,43,8731.0,854.25,4932.75,6350708.75
False,A,2020-05-16 14:30:00,43,7541.285714,738.3,5144.857143,6350920.857
False,A,2020-05-16 14:45:00,43,7203.75,705.375,5323.75,6351099.75
False,A,2020-05-16 15:00:00,43,7176.142857,702.7285714,5495.285714,6351271.286
False,A,2020-05-16 15:15:00,43,6074.125,595.1375,5662.25,6351438.25
False,A,2020-05-16 15:30:00,43,5092.714286,499.2714286,5797.142857,6351573.143
False,A,2020-05-16 15:45:00,43,3847.625,378.1,5906.75,6351682.75
False,A,2020-05-16 16:00:00,43,3392.571429,333.5142857,5995.571429,6351771.571
False,A,2020-05-16 16:15:00,43,2888.0,283.3285714,6068.0,6351844.0
False,A,2020-05-16 16:30:00,43,2634.0,258.3,6138.0,6351914.0
False,A,2020-05-16 16:45:00,43,2224.0,218.0857143,6197.285714,6351973.286
False,A,2020-05-16 17:00:00,43,1982.75,194.35,6249.125,6352025.125
False,A,2020-05-16 17:15:00,43,1614.714286,157.9571429,6293.428571,6352069.429
False,A,2020-05-16 17:30:00,43,1187.375,115.4625,6327.75,6352103.75
False,A,2020-05-16 17:45:00,43,758.5714286,73.55714286,6351.428571,6352127.429
False,A,2020-05-16 18:00:00,43,394.875,38.1875,6365.5,6352141.5
False,A,2020-05-16 18:15:00,43,126.4285714,12.18571429,6372.285714,6352148.286
False,A,2020-05-17 06:15:00,43,120.375,11.6125,0.5,6352150.5
False,A,2020-05-17 06:30:00,43,455.8571429,44.08571429,6.571428571,6352156.571
False,A,2020-05-17 06:45:00,43,892.5,86.6375,22.625,6352172.625
False,A,2020-05-17 07:00:00,43,1403.714286,137.0428571,50.28571429,6352200.286
False,A,2020-05-17 07:15:00,43,2371.375,232.5125,96.875,6352246.875
